Date,Season,RES,Cluster,RES,Cluster,RES,Cluster
2021-07-17,Summer,Offshore Wind,1,Onshore Wind,2,Solar,1
2021-07-18,Summer,Offshore Wind,0,Onshore Wind,1,Solar,1
2021-07-19,Summer,Offshore Wind,1,Onshore Wind,0,Solar,1
2021-07-20,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-07-21,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-07-22,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-07-23,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-07-24,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-07-25,Summer,Offshore Wind,0,Onshore Wind,2,Solar,2
2021-07-26,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-07-27,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-07-28,Summer,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-07-29,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-07-30,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-07-31,Summer,Offshore Wind,0,Onshore Wind,2,Solar,2
2021-08-01,Summer,Offshore Wind,1,Onshore Wind,0,Solar,0
2021-08-02,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-08-03,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-08-04,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-08-05,Summer,Offshore Wind,1,Onshore Wind,2,Solar,1
2021-08-06,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-08-07,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-08-08,Summer,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-08-09,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-08-10,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-08-11,Summer,Offshore Wind,1,Onshore Wind,0,Solar,0
2021-08-12,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-08-13,Summer,Offshore Wind,0,Onshore Wind,2,Solar,2
2021-08-14,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-08-15,Summer,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-08-16,Summer,Offshore Wind,1,Onshore Wind,0,Solar,0
2021-08-17,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-08-18,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-08-19,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-08-20,Summer,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-08-21,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-08-22,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
